gemeente_id,Provinciecode,Provincienaam,Gemeentenaam,BevAant,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020
222,25,Gelderland,Doetinchem,57555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3
766,30,Noord-Brabant,Dongen,26051,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4.0,4.0,5.0,5.0,5.0,5,5,5
505,28,Zuid-Holland,Dordrecht,118654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,4,4,8
498,27,Noord-Holland,Drechterland,19597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1719,30,Noord-Brabant,Drimmelen,27150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,5.0,5.0,5.0,7.0,11,12,13
303,24,Flevoland,Dronten,40815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,6.0,7.0,7,8,9
225,25,Gelderland,Druten,18797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,5.0,5.0,5,5,5
226,25,Gelderland,Duiven,25332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,2,2
1711,31,Limburg,Echt-Susteren,31638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,6,6
385,27,Noord-Holland,Edam-Volendam,36099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3
